HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,16,2,40,0.0,0.0
7666,2015,12,16,2,45,0.0,0.0
7666,2015,12,16,2,50,0.0,0.0
7666,2015,12,16,2,55,0.0,0.0
7666,2015,12,16,3,0,0.0,0.0
7666,2015,12,16,3,5,0.0,0.0
7666,2015,12,16,3,10,0.0,0.0
7666,2015,12,16,3,15,0.0,0.0
7666,2015,12,16,3,20,0.0,0.0
7666,2015,12,16,3,25,0.0,0.0
7666,2015,12,16,3,30,0.0,0.0
7666,2015,12,16,3,35,0.0,0.0
7666,2015,12,16,3,40,0.0,0.0
7666,2015,12,16,3,45,0.0,0.0
7666,2015,12,16,3,50,0.0,0.0
7666,2015,12,16,3,55,0.0,0.0
7666,2015,12,16,4,0,0.0,0.0
7666,2015,12,16,4,5,0.0,0.0
7666,2015,12,16,4,10,0.0,0.0
7666,2015,12,16,4,15,0.0,0.0
7666,2015,12,16,4,20,0.0,0.0
7666,2015,12,16,4,25,0.0,0.0
7666,2015,12,16,4,30,0.0,0.0
7666,2015,12,16,4,35,0.0,0.0
7666,2015,12,16,4,40,0.0,0.0
7666,2015,12,16,4,45,0.0,0.0
7666,2015,12,16,4,50,0.0,0.0
7666,2015,12,16,4,55,0.0,0.0
7666,2015,12,16,5,0,0.0,0.0
7666,2015,12,16,5,5,0.0,0.0
7666,2015,12,16,5,10,0.0,0.0
7666,2015,12,16,5,15,0.0,0.0
7666,2015,12,16,5,20,0.0,0.0
7666,2015,12,16,5,25,0.0,0.0
7666,2015,12,16,5,30,0.0,0.0
7666,2015,12,16,5,35,0.0,0.0
7666,2015,12,16,5,40,0.0,0.0
7666,2015,12,16,5,45,0.0,0.0
7666,2015,12,16,5,50,0.0,0.0
7666,2015,12,16,5,55,0.0,0.0
7666,2015,12,16,6,0,0.0,0.0
7666,2015,12,16,6,5,0.0,0.0
7666,2015,12,16,6,10,0.0,0.0
7666,2015,12,16,6,15,0.0,0.0
7666,2015,12,16,6,20,0.0,0.0
7666,2015,12,16,6,25,0.0,0.0
7666,2015,12,16,6,30,0.0,0.0
7666,2015,12,16,6,35,0.0,0.0
7666,2015,12,16,6,40,0.0,0.0
7666,2015,12,16,6,45,0.0,0.0
7666,2015,12,16,6,50,0.0,0.0
7666,2015,12,16,6,55,0.0,0.0
7666,2015,12,16,7,0,0.0,0.0
7666,2015,12,16,7,5,0.0,0.0
7666,2015,12,16,7,10,0.0,0.0
7666,2015,12,16,7,15,0.0,0.0
7666,2015,12,16,7,20,0.0,0.0
7666,2015,12,16,7,25,0.0,0.0
7666,2015,12,16,7,30,0.0,0.0
7666,2015,12,16,7,35,0.0,0.0
7666,2015,12,16,7,40,0.0,0.0
7666,2015,12,16,7,45,0.0,0.0
7666,2015,12,16,7,50,0.0,0.0
7666,2015,12,16,7,55,0.0,0.0
