HISTID,Year,Month,Day,Hour,Minute,P1,P2
7690,2016,6,23,10,35,9.091,324.992
7690,2016,6,23,10,40,9.091,324.992
7690,2016,6,23,10,45,0.8909999999999999,3.187
7690,2016,6,23,10,50,0.8909999999999999,3.187
7690,2016,6,23,10,55,0.8909999999999999,3.187
7690,2016,6,23,11,0,0.8909999999999999,3.187
7690,2016,6,23,11,5,0.8909999999999999,3.187
7690,2016,6,23,11,10,0.8909999999999999,3.187
7690,2016,6,23,11,15,0.8909999999999999,3.187
7690,2016,6,23,11,20,0.8909999999999999,3.187
7690,2016,6,23,11,25,0.8909999999999999,3.187
7690,2016,6,23,11,30,0.8909999999999999,3.187
7690,2016,6,23,11,35,0.8909999999999999,3.187
7690,2016,6,23,11,40,0.8909999999999999,3.187
7690,2016,6,23,11,45,0.8909999999999999,3.187
7690,2016,6,23,11,50,0.8909999999999999,3.187
7690,2016,6,23,11,55,0.8909999999999999,3.187
7690,2016,6,23,12,0,0.8909999999999999,3.187
7690,2016,6,23,12,5,0.8909999999999999,3.187
7690,2016,6,23,12,10,0.8909999999999999,3.187
7690,2016,6,23,12,15,0.8909999999999999,3.187
7690,2016,6,23,12,20,0.8909999999999999,3.187
7690,2016,6,23,12,25,0.8909999999999999,3.187
7690,2016,6,23,12,30,0.8909999999999999,3.187
7690,2016,6,23,12,35,0.8909999999999999,3.187
7690,2016,6,23,12,40,0.8909999999999999,3.187
7690,2016,6,23,12,45,0.8909999999999999,3.187
7690,2016,6,23,12,50,0.8909999999999999,3.187
7690,2016,6,23,12,55,0.8909999999999999,3.187
7690,2016,6,23,13,0,0.8909999999999999,3.187
7690,2016,6,23,13,5,0.8909999999999999,3.187
7690,2016,6,23,13,10,0.8909999999999999,3.187
7690,2016,6,23,13,15,0.8909999999999999,3.187
7690,2016,6,23,13,20,0.8909999999999999,3.187
7690,2016,6,23,13,25,0.8909999999999999,3.187
7690,2016,6,23,13,30,0.8909999999999999,3.187
7690,2016,6,23,13,35,0.8909999999999999,3.187
7690,2016,6,23,13,40,0.8909999999999999,3.187
7690,2016,6,23,13,45,0.8909999999999999,3.187
7690,2016,6,23,13,50,0.8909999999999999,3.187
7690,2016,6,23,13,55,0.8909999999999999,3.187
7690,2016,6,23,14,0,0.8909999999999999,3.187
7690,2016,6,23,14,5,0.8909999999999999,3.187
7690,2016,6,23,14,10,0.8909999999999999,3.187
7690,2016,6,23,14,15,0.8909999999999999,3.187
7690,2016,6,23,14,20,0.8909999999999999,3.187
7690,2016,6,23,14,25,0.8909999999999999,3.187
7690,2016,6,23,14,30,0.8909999999999999,3.187
7690,2016,6,23,14,35,0.8909999999999999,3.187
7690,2016,6,23,14,40,0.8909999999999999,3.187
7690,2016,6,23,14,45,0.8909999999999999,3.187
7690,2016,6,23,14,50,0.8909999999999999,3.187
7690,2016,6,23,14,55,0.8909999999999999,3.187
7690,2016,6,23,15,0,0.8909999999999999,3.187
7690,2016,6,23,15,5,0.8909999999999999,3.187
7690,2016,6,23,15,10,0.8909999999999999,3.187
7690,2016,6,23,15,15,0.8909999999999999,3.187
7690,2016,6,23,15,20,0.8909999999999999,3.187
7690,2016,6,23,15,25,0.8909999999999999,3.187
7690,2016,6,23,15,30,0.8909999999999999,3.187
7690,2016,6,23,15,35,0.8909999999999999,3.187
7690,2016,6,23,15,40,0.8909999999999999,3.187
7690,2016,6,23,15,45,0.8909999999999999,3.187
7690,2016,6,23,15,50,0.8909999999999999,3.187
7690,2016,6,23,15,55,0.8909999999999999,3.187
7690,2016,6,23,16,0,0.8909999999999999,3.187
7690,2016,6,23,16,5,0.8909999999999999,3.187
7690,2016,6,23,16,10,0.8909999999999999,3.187
